item_id,item_type,topic,title,reason,recommended_action,status,source_path,added_at
b2b628ceaf71,paper_candidate,remote_id_broadcast_capacity,Low Altitude Situational Awareness Enhancement using Remote ID Broadcasted from small UAS,PDF requires user access,Download legally if institutional or personal access is available.,pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
45bdfbf73d2b,paper_candidate,remote_id_broadcast_capacity,Detect and Avoid (DAA) with Broadcast Remote ID (RID),unknown venue tier; PDF requires user access,Audit venue quality before synthesis.; Download legally if institutional or personal access is available.,pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
eb98a2e892ab,paper_candidate,remote_id_broadcast_capacity,Optimized Link State Routing Protocol (OLSR),unknown venue tier,Audit venue quality before synthesis.,pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
d32f6c09cc38,paper_candidate,remote_id_broadcast_capacity,Trustworthy Device Identifiers For Unmanned Aircraft and Other Mobile Things,unknown venue tier; PDF requires user access,Audit venue quality before synthesis.; Download legally if institutional or personal access is available.,pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
e1dd689020eb,paper_candidate,remote_id_broadcast_capacity,Real-Time UAV Trajectory Prediction for UTM Surveillance Using Machine Learning,PDF requires user access,Download legally if institutional or personal access is available.,pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
00765ee6bfdc,paper_candidate,remote_id_broadcast_capacity,Hyperledger fabric,unknown venue tier,Audit venue quality before synthesis.,pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
93a93bb1a967,paper_candidate,dtmb_uav_control,Uncertainty Assessment for Towing Tank Tests With Example for Surface Combatant DTMB Model 5415,missing practical validation; PDF requires user access,"Find standards, policy, white papers, or real-system evidence.; Download legally if institutional or personal access is available.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
346eabd560a1,paper_candidate,dtmb_uav_control,Verification and validation of numerical modelling of DTMB 5415 roll decay,missing practical validation,"Find standards, policy, white papers, or real-system evidence.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
b7db3a8a50c7,paper_candidate,dtmb_uav_control,"Towing tank PIV measurement system, data and uncertainty assessment for DTMB Model 5512",PDF requires user access,Download legally if institutional or personal access is available.,pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
02a049d9dff4,paper_candidate,dtmb_uav_control,Key Technologies and Measurements for DTMB-A System,PDF requires user access,Download legally if institutional or personal access is available.,pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
9dac4fa7f9e3,paper_candidate,dtmb_uav_control,Numerical simulations of free roll decay of DTMB 5415,missing practical validation; PDF requires user access,"Find standards, policy, white papers, or real-system evidence.; Download legally if institutional or personal access is available.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
27e761323a34,paper_candidate,dtmb_uav_control,Reconstruction of reference signal for DTMB-based passive radar systems,unknown venue tier; missing practical validation; PDF requires user access,"Audit venue quality before synthesis.; Find standards, policy, white papers, or real-system evidence.; Download legally if institutional or personal access is available.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
e8d6907591e2,paper_candidate,dtmb_uav_control,Field trial of advanced DTMB system DTMB-A in Hong Kong,unknown venue tier; missing practical validation; PDF requires user access,"Audit venue quality before synthesis.; Find standards, policy, white papers, or real-system evidence.; Download legally if institutional or personal access is available.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
63fc2d2bcd3c,paper_candidate,dtmb_uav_control,Cochannel Interference in DTMB-Based Passive Radar,missing practical validation; PDF requires user access,"Find standards, policy, white papers, or real-system evidence.; Download legally if institutional or personal access is available.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
c3a9e3cbc372,paper_candidate,dtmb_uav_control,THE DTMB PLANAR-MOTION-MECHANISM SYSTEM,unknown venue tier; missing practical validation; PDF requires user access,"Audit venue quality before synthesis.; Find standards, policy, white papers, or real-system evidence.; Download legally if institutional or personal access is available.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
d4dbc77b4dd3,paper_candidate,dtmb_uav_control,Robust Timing and Frequency Synchronization Scheme for DTMB System,missing practical validation; PDF requires user access,"Find standards, policy, white papers, or real-system evidence.; Download legally if institutional or personal access is available.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
afecf5f4dd08,paper_candidate,dtmb_uav_control,"Automation Architecture for Single Operator, Multiple UAV Command and Control,",missing practical validation,"Find standards, policy, white papers, or real-system evidence.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
55c5fed98d0c,paper_candidate,dtmb_uav_control,"UAV Command and Control, Navigation and Surveillance: A Review of Potential 5G and Satellite Systems",unknown venue tier; missing practical validation,"Audit venue quality before synthesis.; Find standards, policy, white papers, or real-system evidence.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
4f181ab3c301,paper_candidate,dtmb_uav_control,Using LTE Networks for UAV Command and Control Link: A Rural-Area Coverage Analysis,unknown venue tier; missing practical validation; PDF requires user access,"Audit venue quality before synthesis.; Find standards, policy, white papers, or real-system evidence.; Download legally if institutional or personal access is available.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
bc0b13ad46e7,paper_candidate,dtmb_uav_control,VR-Based Immersive Service Management in B5G Mobile Systems: A UAV Command and Control Use Case,missing practical validation,"Find standards, policy, white papers, or real-system evidence.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
82e8a346f3fa,paper_candidate,dtmb_uav_control,Consideration about UAV command and control. Ground Control Station,missing practical validation,"Find standards, policy, white papers, or real-system evidence.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
6249c7f09d12,paper_candidate,dtmb_uav_control,Cooperative Path Following Control of USV-UAVs Considering Low Design Complexity and Command Transmission Requirements,missing practical validation; PDF requires user access,"Find standards, policy, white papers, or real-system evidence.; Download legally if institutional or personal access is available.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
560fba2c8654,paper_candidate,dtmb_uav_control,Towards enabling reliable immersive teleoperation through Digital Twin: A UAV command and control use case,unknown venue tier; missing practical validation; PDF requires user access,"Audit venue quality before synthesis.; Find standards, policy, white papers, or real-system evidence.; Download legally if institutional or personal access is available.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
a6bd383f6566,paper_candidate,dtmb_uav_control,Antisaturation Command Filtered Backstepping Control-Based Disturbance Rejection for a Quadarotor UAV,missing practical validation; PDF requires user access,"Find standards, policy, white papers, or real-system evidence.; Download legally if institutional or personal access is available.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
08b9be342be1,paper_candidate,dtmb_uav_control,Command filter-based adaptive fuzzy integral backstepping control for quadrotor UAV with input saturation,missing practical validation; PDF requires user access,"Find standards, policy, white papers, or real-system evidence.; Download legally if institutional or personal access is available.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
e73904085a31,paper_candidate,dtmb_uav_control,"Applying DDDAS Principles to Command, Control and Mission Planning for UAV Swarms",missing practical validation,"Find standards, policy, white papers, or real-system evidence.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
de0fa0e496ab,paper_candidate,dtmb_uav_control,Broadcast Control Channel Jamming: Resilience and Identification of Traitors,unknown venue tier; missing practical validation; PDF requires user access,"Audit venue quality before synthesis.; Find standards, policy, white papers, or real-system evidence.; Download legally if institutional or personal access is available.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
ba93c71966f9,paper_candidate,dtmb_uav_control,Decentralized dynamic control of a multiaccess broadcast channel,missing practical validation; PDF requires user access,"Find standards, policy, white papers, or real-system evidence.; Download legally if institutional or personal access is available.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
6d10343e7181,paper_candidate,dtmb_uav_control,Packet Switching in a Multiaccess Broadcast Channel: Dynamic Control Procedures,missing practical validation; PDF requires user access,"Find standards, policy, white papers, or real-system evidence.; Download legally if institutional or personal access is available.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
3ce844800a0d,paper_candidate,dtmb_uav_control,Stability and Optimal Control of the Packet Switching Broadcast Channel,missing practical validation,"Find standards, policy, white papers, or real-system evidence.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
d5fa23a03ce9,paper_candidate,dtmb_uav_control,Joint Beamforming and Power Control for Multiantenna Relay Broadcast Channel With QoS Constraints,missing practical validation; PDF requires user access,"Find standards, policy, white papers, or real-system evidence.; Download legally if institutional or personal access is available.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
89aab591b746,paper_candidate,dtmb_uav_control,Congestion Control Based on Channel Occupancy in Vehicular Broadcast Networks,unknown venue tier; missing practical validation; PDF requires user access,"Audit venue quality before synthesis.; Find standards, policy, white papers, or real-system evidence.; Download legally if institutional or personal access is available.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
d322e7a41ace,paper_candidate,dtmb_uav_control,Autonomous inter base station synchronisation via a common broadcast control channel,unknown venue tier; missing practical validation; PDF requires user access,"Audit venue quality before synthesis.; Find standards, policy, white papers, or real-system evidence.; Download legally if institutional or personal access is available.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
baca41e259dd,paper_candidate,dtmb_uav_control,Decentralized control of a multiple access broadcast channel: performance bounds,unknown venue tier; missing practical validation; PDF requires user access,"Audit venue quality before synthesis.; Find standards, policy, white papers, or real-system evidence.; Download legally if institutional or personal access is available.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
55a447e94662,paper_candidate,dtmb_uav_control,A distributed broadcast protocol in multi-hop cognitive radio ad hoc networks without a common control channel,unknown venue tier; missing practical validation; PDF requires user access,"Audit venue quality before synthesis.; Find standards, policy, white papers, or real-system evidence.; Download legally if institutional or personal access is available.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
e7d0913373ab,paper_candidate,dtmb_uav_control,Planning of the GSM network broadcast control channel with data fusion,missing practical validation; PDF requires user access,"Find standards, policy, white papers, or real-system evidence.; Download legally if institutional or personal access is available.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
5480876972d9,paper_candidate,formation_safety_boundary,A Novel Control Approach for Flight-Stability of Fixed-Wing UAV Formation With Wind Field,missing practical validation; PDF requires user access,"Find standards, policy, white papers, or real-system evidence.; Download legally if institutional or personal access is available.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
fefde229ff0f,paper_candidate,formation_safety_boundary,Flexible Structure Control Scheme of a UAVs Formation to Improve the Formation Stability During Maneuvers,missing practical validation,"Find standards, policy, white papers, or real-system evidence.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
5a761eddac88,paper_candidate,formation_safety_boundary,Time-Varying Formation Tracking for Second-Order Multi-Agent Systems Subjected to Switching Topologies With Application to Quadrotor Formation Flying,missing practical validation; PDF requires user access,"Find standards, policy, white papers, or real-system evidence.; Download legally if institutional or personal access is available.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
2c9136f27a39,paper_candidate,formation_safety_boundary,An Improved Artificial Potential Field Method for Path Planning and Formation Control of the Multi-UAV Systems,missing practical validation; PDF requires user access,"Find standards, policy, white papers, or real-system evidence.; Download legally if institutional or personal access is available.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
970c2b4fa868,paper_candidate,formation_safety_boundary,Integrated Optimal Formation Control of Multiple Unmanned Aerial Vehicles,missing practical validation,"Find standards, policy, white papers, or real-system evidence.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
3c88ed6ce41c,paper_candidate,formation_safety_boundary,Multi-UAV Formation Control Based on a Novel Back-Stepping Approach,missing practical validation; PDF requires user access,"Find standards, policy, white papers, or real-system evidence.; Download legally if institutional or personal access is available.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
65228cf7aed3,paper_candidate,formation_safety_boundary,A Synergistic Fractional-Order Control for Precise Helical Trajectory Tracking and Formation Stability in Multi-Agent Quadrotor UAVs,missing practical validation; PDF requires user access,"Find standards, policy, white papers, or real-system evidence.; Download legally if institutional or personal access is available.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
1388755163c3,paper_candidate,formation_safety_boundary,Stability and control of the UAV formations flight,missing practical validation; PDF requires user access,"Find standards, policy, white papers, or real-system evidence.; Download legally if institutional or personal access is available.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
32b88514900d,paper_candidate,formation_safety_boundary,Formation control of VTOL Unmanned Aerial Vehicles with communication delays,missing practical validation; PDF requires user access,"Find standards, policy, white papers, or real-system evidence.; Download legally if institutional or personal access is available.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
0166a55c2437,paper_candidate,formation_safety_boundary,Review of Unmanned Aerial Vehicle Swarm Communication Architectures and Routing Protocols,missing practical validation,"Find standards, policy, white papers, or real-system evidence.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
d7ef80c66b91,paper_candidate,formation_safety_boundary,Formation Fight Control of Multi-UAVs with Communication Delay,missing practical validation; PDF requires user access,"Find standards, policy, white papers, or real-system evidence.; Download legally if institutional or personal access is available.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
f667559f8a8c,paper_candidate,formation_safety_boundary,Time-Varying Formation Tracking Control for Multi-UAV Systems with Directed Graph and Communication Delays,unknown venue tier; missing practical validation; PDF requires user access,"Audit venue quality before synthesis.; Find standards, policy, white papers, or real-system evidence.; Download legally if institutional or personal access is available.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
4a5d1cd300f9,paper_candidate,formation_safety_boundary,Research on Cooperative Formation Flight Control of Multi-UAV with Communication Time Delay,unknown venue tier; missing practical validation; PDF requires user access,"Audit venue quality before synthesis.; Find standards, policy, white papers, or real-system evidence.; Download legally if institutional or personal access is available.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
152accba1a9d,paper_candidate,formation_safety_boundary,Time-Varying Formation Tracking Control for Multi-UAV Systems with Communication Delays and Switching Topologies,missing practical validation; PDF requires user access,"Find standards, policy, white papers, or real-system evidence.; Download legally if institutional or personal access is available.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
8f4cc5131dad,paper_candidate,formation_safety_boundary,Event-Triggered formation control for time-delayed discrete-Time multi-Agent system applied to multi-UAV formation flying,missing practical validation; PDF requires user access,"Find standards, policy, white papers, or real-system evidence.; Download legally if institutional or personal access is available.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
802c368b9374,paper_candidate,formation_safety_boundary,Time‐varying formation of second‐order discrete‐time multi‐agent systems under non‐uniform communication delays and switching topology with application to UAV formation flying,missing practical validation; PDF requires user access,"Find standards, policy, white papers, or real-system evidence.; Download legally if institutional or personal access is available.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
92d3611a0dc4,paper_candidate,formation_safety_boundary,Formation Control Algorithms for Multi-UAV Systems With Unstable Topologies and Hybrid Delays,missing practical validation,"Find standards, policy, white papers, or real-system evidence.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
9c01812ab41e,paper_candidate,formation_safety_boundary,Formation Flight Control of Multi-UAV System with Communication Constraints,missing practical validation,"Find standards, policy, white papers, or real-system evidence.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
bb06821223f5,paper_candidate,formation_safety_boundary,Formation Flight of Multiple UAVs via Onboard Sensor Information Sharing,missing practical validation,"Find standards, policy, white papers, or real-system evidence.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
1dfd473f749b,paper_candidate,formation_safety_boundary,Event-triggered leader-following formation control for multi-agent systems under communication faults: Application to a fleet of unmanned aerial vehicles,missing practical validation,"Find standards, policy, white papers, or real-system evidence.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
3ea50c706b46,paper_candidate,remote_id_broadcast_capacity,Remote ID-Based UAV Supervision System,PDF requires user access,Download legally if institutional or personal access is available.,pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
f58cd2d04c90,paper_candidate,remote_id_broadcast_capacity,Specification for Remote ID and Tracking,unknown venue tier; PDF requires user access,Audit venue quality before synthesis.; Download legally if institutional or personal access is available.,pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
bc263f5a4e56,paper_candidate,remote_id_broadcast_capacity,Specification for Remote ID and Tracking,unknown venue tier; PDF requires user access,Audit venue quality before synthesis.; Download legally if institutional or personal access is available.,pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
16bcb81814db,paper_candidate,remote_id_broadcast_capacity,Thinking Ethically about Drone Violence,PDF requires user access,Download legally if institutional or personal access is available.,pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
2a8cb3180a44,paper_candidate,remote_id_broadcast_capacity,The drone of data,PDF requires user access,Download legally if institutional or personal access is available.,pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
fb8e28123e6e,paper_candidate,remote_id_broadcast_capacity,Remote Killing and the Ethics of Drone Warfare,PDF requires user access,Download legally if institutional or personal access is available.,pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
59b6d23811d5,paper_candidate,remote_id_broadcast_capacity,Ethics for Drone Operators: Rules versus Virtues,PDF requires user access,Download legally if institutional or personal access is available.,pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
3109714db11f,paper_candidate,remote_id_broadcast_capacity,Navigating the skies: examining the FAA’s remote identification rule for unmanned aircraft systems,PDF requires user access,Download legally if institutional or personal access is available.,pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
90200ddd7659,paper_candidate,remote_id_broadcast_capacity,Ethics of Drone Strikes,unknown venue tier; PDF requires user access,Audit venue quality before synthesis.; Download legally if institutional or personal access is available.,pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
3a95309e646d,paper_candidate,remote_id_broadcast_capacity,The gender politics of the drone,PDF requires user access,Download legally if institutional or personal access is available.,pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
8b6623423f8c,paper_candidate,remote_id_broadcast_capacity,Comments on an Efficient ID-Based Broadcast Encryption Scheme,PDF requires user access,Download legally if institutional or personal access is available.,pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
8e8cd3e0cd4d,paper_candidate,remote_id_broadcast_capacity,An ID-Based Broadcast Encryption Scheme for Key Distribution,PDF requires user access,Download legally if institutional or personal access is available.,pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
79c8f55640f3,paper_candidate,remote_id_broadcast_capacity,Remote control,PDF requires user access,Download legally if institutional or personal access is available.,pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
3b4b3c6c7969,paper_candidate,remote_id_broadcast_capacity,Broadcast-based multiparty remote state preparation protocol,PDF requires user access,Download legally if institutional or personal access is available.,pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
a13d6a8c6686,paper_candidate,remote_id_broadcast_capacity,Routing Switcher Type-Specific Messages for Remote Control of Broadcast Equipment,unknown venue tier; PDF requires user access,Audit venue quality before synthesis.; Download legally if institutional or personal access is available.,pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
0d6d303fe013,paper_candidate,remote_id_broadcast_capacity,Where Next?,PDF requires user access,Download legally if institutional or personal access is available.,pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
fef971fb43d2,paper_candidate,remote_id_broadcast_capacity,Aerospace series. Unmanned Aircraft Systems,unknown venue tier; PDF requires user access,Audit venue quality before synthesis.; Download legally if institutional or personal access is available.,pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
9ee04be8ee84,paper_candidate,remote_id_broadcast_capacity,Aerospace series. Unmanned Aircraft Systems,unknown venue tier; PDF requires user access,Audit venue quality before synthesis.; Download legally if institutional or personal access is available.,pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
4711e701d28b,paper_candidate,remote_id_broadcast_capacity,Remote Direct Memory Access Transport for Remote Procedure Call,unknown venue tier; PDF requires user access,Audit venue quality before synthesis.; Download legally if institutional or personal access is available.,pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
55389c48ec54,paper_candidate,remote_id_broadcast_capacity,UAS Traffic Management (UTM),unknown venue tier; PDF requires user access,Audit venue quality before synthesis.; Download legally if institutional or personal access is available.,pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
b0419b0fc7e0,paper_candidate,remote_id_broadcast_capacity,UAS Traffic Management (UTM),unknown venue tier; PDF requires user access,Audit venue quality before synthesis.; Download legally if institutional or personal access is available.,pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
008875acf7e4,paper_candidate,remote_id_broadcast_capacity,Direct Data Placement Protocol (DDP) / Remote Direct Memory Access Protocol (RDMAP) Security,unknown venue tier; PDF requires user access,Audit venue quality before synthesis.; Download legally if institutional or personal access is available.,pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
0e53ea8e3c65,paper_candidate,remote_id_broadcast_capacity,,unknown venue tier; PDF requires user access,Audit venue quality before synthesis.; Download legally if institutional or personal access is available.,pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
f4388c23abc5,paper_candidate,dtmb_uav_control,"EXPERIMENTAL INVESTIGATION OF NEAR-SURFACE HYDRODYNAMIC FORCE COEFFICIENTS FOR A SYSTEMATIC SERIES OF TEE HYDROFOILS, DTMB SERIES HF-1,",unknown venue tier; PDF requires user access,Audit venue quality before synthesis.; Download legally if institutional or personal access is available.,pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
4d22c3ed38cb,paper_candidate,dtmb_uav_control,Comparison of ITTC-78 and DTMB Standard Ship Performance Prediction Methods,unknown venue tier; PDF requires user access,Audit venue quality before synthesis.; Download legally if institutional or personal access is available.,pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
395d0900f19f,paper_candidate,dtmb_uav_control,Technical Review on DTMB-Advanced (DTMB-A) Standard,PDF requires user access,Download legally if institutional or personal access is available.,pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
5bd98b4751ab,paper_candidate,dtmb_uav_control,Digital terrestrial television receivers for the DTMB system,unknown venue tier; missing practical validation; PDF requires user access,"Audit venue quality before synthesis.; Find standards, policy, white papers, or real-system evidence.; Download legally if institutional or personal access is available.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
fdc7d83439e3,paper_candidate,dtmb_uav_control,PROPELLER VORTEX CAVITATION INCEPTION STUDIES,unknown venue tier; missing practical validation; PDF requires user access,"Audit venue quality before synthesis.; Find standards, policy, white papers, or real-system evidence.; Download legally if institutional or personal access is available.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
d935b73953a3,paper_candidate,dtmb_uav_control,Digital terrestrial television receivers for the DTMB system,unknown venue tier; missing practical validation; PDF requires user access,"Audit venue quality before synthesis.; Find standards, policy, white papers, or real-system evidence.; Download legally if institutional or personal access is available.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
c90da1145354,paper_candidate,dtmb_uav_control,THEORETICAL CONSIDERATIONS ON SHROUDED PROPELLERS,unknown venue tier; missing practical validation; PDF requires user access,"Audit venue quality before synthesis.; Find standards, policy, white papers, or real-system evidence.; Download legally if institutional or personal access is available.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
69d8d809ab38,paper_candidate,dtmb_uav_control,BLAST TRANSMISSION INTO CHAMBERS,unknown venue tier; missing practical validation; PDF requires user access,"Audit venue quality before synthesis.; Find standards, policy, white papers, or real-system evidence.; Download legally if institutional or personal access is available.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
fbf491a61aec,paper_candidate,dtmb_uav_control,POWERING PERFORMANCE OF A VENTILATED PROPELLER,unknown venue tier; missing practical validation; PDF requires user access,"Audit venue quality before synthesis.; Find standards, policy, white papers, or real-system evidence.; Download legally if institutional or personal access is available.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
87782008ecff,paper_candidate,dtmb_uav_control,Digital terrestrial television multimedia broadcasting (DTMB),missing practical validation; PDF requires user access,"Find standards, policy, white papers, or real-system evidence.; Download legally if institutional or personal access is available.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
58b868762945,paper_candidate,dtmb_uav_control,Nonlinear UAV Flight Control Using Command Filtered Backstepping,unknown venue tier; missing practical validation; PDF requires user access,"Audit venue quality before synthesis.; Find standards, policy, white papers, or real-system evidence.; Download legally if institutional or personal access is available.",pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
